Author,Title,Article,URL,Date
None,Aspen-area briefs: Fourth of July festivities coming into focus; open house set for early child care center,"The city of Aspen is organizing this year’s Fourth of July parade and Community Village festivities with the designated theme “Aspen 4(th) All.”,The idea behind the theme for these two events is they are inclusive for all residents and guests with multiple ways for the community to participate, according to a city news release.,This year’s event features an old-fashioned parade and a Community Village. Applications are free and can be found at ,.,The Commercial Core and Lodging Commission will be approving a limited number of parade applications by June 15.,The Community Village, new this year, will be a sectioned off area of downtown where local artists, small businesses, nonprofits and community organizations can set up a 10-foot-by-10-foot booth and share information and sell goods with the appropriate permits from the city.,Applications are due June 15 and are subject to the approval of the Fourth of July parade and festival board of directors.,The city is also accepting nominations for grand marshal of the parade. The person being nominated should either live or work in Aspen and have contributed to the community in an overwhelming way over the past years. Nominations will be reviewed by the parade committee, and a decision will be made in June.,Nomination forms and all other information about the Fourth of July in Aspen can be found at ,.,The city of Aspen has announced the initial public outreach phase of a childhood education center project being planned for third phase of Burlingame.,This project will result in a new early child care education center with indoor and outdoor spaces, multimodal circulation and possible onsite employee housing,The first informational open house will be held this week Thursday from 5:30-7:30 p.m. at the Burlingame commons building (124 Forge Road).,The meeting is a casual format focused on presenting the project’s public process, gathering additional feedback from neighbors and answering initial project questions. Refreshments will be provided.,More on the project can be found at ,.",https://www.aspentimes.com/news/aspen-area-briefs-fourth-of-july-festivities-coming-into-focus-open-house-set-for-early-child-care-center/,2022-05-05
Scott Condon,"Basalt bartender’s disdain for local vodka triggers incident that leads to arrest on suspicion of menacing, assault","A Basalt bartender was arrested on suspicion of felony menacing, stalking and three misdemeanors after he allegedly went into a violent rage Tuesday when he learned a customer worked for Woody Creek Distillery.,Christopher D. Barker, 43, of Aspen Village, was arrested after a tense 20 minutes that included his alleged assault of his boss and another co-worker, pursuit of two customers outside of the restaurant and a confrontation with another man who intervened, according to Basalt Police Chief Greg Knott. Barker allegedly pulled a knife on the intervenor and the intervenor responded by pulling a handgun, according to an affidavit for a warrantless arrest filed in Eagle County District Court by Basalt police.,Knott said it was fortunate the episode didn’t end in tragedy after the intervenor pulled his handgun out of a holster during the chaotic moments when the first officer, Lt. Aaron Munch, arrived on the scene. The intervenor intended to show he posed no threat to officers but the action of pulling his gun could have easily been misconstrued, Knott said.,“Lt. Munch showed great restraint and control of the situation,” Knott said.,The arrest warrant said a woman was drinking at the Ocean restaurant’s bar in Willits Town Center with a male companion at about 4:30 p.m. Tuesday when Barker noticed the Woody Creek Distillery logo on the woman’s shirt.,“Christopher commented stating something to the effect of ‘Your vodka sucks,’” the arrest affidavit said. “Christopher continue to give his negative opinion on Woody Creek Distillery, making it extremely uncomfortable for (the woman and man).”,The customers decided to leave but Barker continued to be aggressive toward them, according to police. The owner of the restaurant and other employees tried to restrain Barker as he attempted to chase the man and woman as they departed. The owner later told police he feared Barker wanted to physically harm the woman.,Barker allegedly elbowed his boss in the face and punched him in the stomach as Barker attempted to get at the customers. Barker also allegedly slammed another co-worker’s hand in the door while employees were trying to prevent him from attacking the customers.,Several employees of the restaurant restrained Barker while the customers departed. The customers initially entered a neighboring restaurant but left when they found it too full. Meanwhile, the Ocean’s owner ordered Barker out of the restaurant.,Barker and the two customers made contact by chance about 1½ blocks away from Ocean restaurant. He flipped them off while they flipped him off, the affidavit said. Barker allegedly gave chase and the couple ducked into a nearby business seeking refuge.,“(The female customer) was hiding in one of the offices as (the male customer) and staff requested (Barker) leave,” the affidavit said.,The woman later told police she feared for her life while she was in hiding. She called a friend who lives nearby in Willits. The friend’s husband heard about the woman’s predicament and decided to help, Knott said. The intervenor went to the business where the woman was hiding and got into a physical altercation with Barker, according to witnesses.,Barker allegedly pulled out a knife used by bartenders to open wine bottles and threatened the intervenor, the affidavit said. The intervenor “showed Christopher that he had a gun,” the affidavit said. “Christopher continued to threaten (the intervenor) as he moved towards him. (The intervenor) then pulled the gun out and pointed it at Christopher.”,Barker dropped his knife shortly before Lt. Munch arrived at the scene. The 911 calls to police dispatch disclosed that weapons were involved, so Munch exited his car with his handgun drawn.,Munch encountered a scene at the sidewalk along Robinson Street with one man screaming (Barker) and another man (the intervenor) a short distance away with a pistol visible in his holster, according to footage from Munch’s body cam. The Aspen Times reviewed that footage.,Munch ordered the man with the gun to get down on his knees and as the man started to comply, he calmly pulled his pistol out of the holster and set it on the ground. Munch was clearly concerned while the man was pulling out the handgun and screamed at the man to get face down to the ground and then crawl away from the gun. Almost simultaneously he ordered Barker to sit on the sidewalk. Another officer arrived and both men were placed in handcuffs for “investigative custody,” the affidavit said.,Knott said he interviewed the man who intervened in the dispute and learned he had intended to show he was compliant when he removed the pistol from the holster. He said he later realized his action could have been construed differently by the police officer, according to Knott.,The intervenor wasn’t arrested though Basalt police asked the 5th Judicial District Attorney’s Office to review the incident and rule whether a charge was warranted.,Multiple witnesses, some with videos, confirmed that the intervenor pulled his handgun only after Barker made threats with a knife and allegedly yelled “I’m going to kill you,” according to the affidavit.,Officer Nino Santiago questioned Barker and said he smelled alcohol on Barker’s breath. Barker admitted he was drinking that day and that he had experienced some mental health issues, the affidavit said.,Barker was arrested on suspicion of two counts of third-degree assault for actions against two of his co-workers who tried to restrain him at Ocean. He was also arrested on suspicion of criminal mischief for other actions at the restaurant.,Barker was arrested on a charge of suspicion of stalking, a class 5 felony, for following the female and male customers out of Ocean. He was arrested on suspicion of felony menacing for pulling the knife and threatening the intervenor.,He was taken to Eagle County Detention Center on Tuesday night. Jail records show he was released Wednesday after posting $2,500 bail. His first appearance in Eagle County Court is May 6.",https://www.aspentimes.com/news/basalt-bartenders-disdain-for-local-vodka-triggers-incident-that-leads-to-arrest-on-suspicion-of-menacing-assault/,2022-04-29
Carolyn Sackariason,Income increases for workers to be addressed in Aspen’s housing program,"With a workforce shortage facing the resort community, many local employers are giving raises or bonuses to their employees, but those workers then face eviction of their rental units because they make too much money based on the income category they were approved for in the Aspen-Pitkin County Housing Authority program.,To address that conundrum, the APCHA board on Wednesday tentatively agreed to change the agency’s regulations to increase the exception to income for current tenants from 120% to 150% when they requalify.,“We have seen a slew of folks that have either just been requalified or about to be that are over their category and are going to be told they are out of compliance and have 12 months (to move out) and there’s nowhere for them to go,” APCHA co-Deputy Director Bethany Spitz said.,That’s the case for Monty Love and his wife, Megan Ballard, who rent an apartment at Truscott and were told they are out of compliance because their projected income is over the limit for their unit.,“I’m here on our behalf but more for our community in the midst of understaffing and hiring difficulties in our community, which is constantly in need of more affordable housing,” he told the APCHA board during public comment in ,. “It is time for APCHA to update or change their regulations, and here’s the change that I think is necessary — increase income limits for rentals, increase income limits to match current wage increases and or inflation, do not evict good-standing tenants and workers until their unit can be filled with new occupants.”,Kelly McNicholas Kury, APCHA board member and Pitkin County commissioner, said the county has in the past year given its employees as much as 10% raises.,“That has caused people to be overqualified for their housing, and I think (APCHA) had decided to keep the (area median income) low coming out of the pandemic because of job loss and hours cut,” she said. “So it seems something to revisit, because everyone’s getting raises across the valley right now, so I don’t think this is going to be a problem limited to just a handful.”,Cindy Christensen, co-deputy director of APCHA, said the agency is sticking with 2020 incomes because of the lingering effects of the pandemic.,Those who rent in APCHA units must requalify every two years, and if they are found to be out of compliance, they are notified that they have to come back into good standing within 12 months, according to Spitz.,“Basically we are saying you have to make less money, or for the income caps to go back up,” she said.,The change in the regulations may help Love and Ballard, but it’s not certain.,“It’s almost a welfare state: don’t make money or you are going to lose your house,” Love said.,APCHA board member and Aspen City Councilwoman Rachel Richards said she supports the idea of increasing qualifying income levels to 150% and suggested that perhaps those individuals should pay more rent in exchange.,“It shouldn’t be that they get the same rent as someone who’s 10% below that category cap, so it needs to be readjusted there,” she said. “It’s for the good of the project and maintenance.”,APCHA staff will work on a formalized resolution that the board can consider on first and second reading before the regulation can be amended.,The change would likely be reviewed annually, and for how long individuals could use the exception is still a question that officials haven’t resolved.",https://www.aspentimes.com/news/income-increases-for-workers-to-be-addressed-in-aspens-housing-program/,2022-05-05
Scott Condon,Who says recycling doesn’t pay? Pitkin County finds new use for old asphalt from airport,"The Aspen-Pitkin County Airport’s intended loss is the Brush Creek parking lot’s unexpected gain.,Asphalt being shaved from the taxiway, tarmac and runway at the airport is being recycled to cover a gravel lot at the intersection of Brush Creek Road and Highway 82. The recycling will save Pitkin County “hundreds of thousands of dollars,” said public works director Brian Pettet.,The initial plan was to haul the shaved material, called millings, to the landfill from the airport. There it would have been piled, stored and used as projects arose.,Instead, the airport, public works and road and bridge department teamed to divert the millings straight to the Brush Creek lot. Pettet said about 5,400 tons of asphalt are being removed from the airport. About 200 tons will be retained for various projects there. That leaves 5,200 tons for use elsewhere by the county. Most of that will be used at the Brush Creek lot.,Pettet said an existing gravel lot that is 550 feet by 200 feet will be covered, or about 110,000 square feet. Dump trucks are transporting the material. Two graders are spreading it and then a roller is compressing it.,The asphalt is compressing surprisingly well, Pettet said. He is uncertain how long it will hold up.,“We’ll assess it over time,” Pettet said. “With this, it’s wait-and-see. Right now it looks fantastic.”,He credited the experienced road and bridge staff the applying the expertise to make the plan work.,If the material lasts for five years, that defers a major expense for the county, he noted. Whenever it has to be replaced, it provides an excellent base that will help an upper layer last longer, he said.,The recycling project is saving money is numerous ways. First, it saves the airport money because of the reduced hauling distance to the Brush Creek lot rather than the dump. Second, it saves the county money from storing and eventually hauling the millings out of the dump. And third, it’s helping Pitkin County stretch its dollars further with the Brush Creek lot revamp.,Covering the Brush Creek gravel lot with fresh asphalt would cost a minimum of $15 per ton plus the grading work, Pettet said. Avoiding that expense produces the major savings.,The savings will allow Pitkin County to devote funds to new bathrooms and associated water and sewage treatment at the lot. The plan is to improve the lot to make it more attractive to commuters who would use it for bus rides into Aspen and Snowmass Village.,Meanwhile, the repaving at the airport and other maintenance will be finished by May 16.",https://www.aspentimes.com/news/who-says-recycling-doesnt-pay-pitkin-county-finds-new-use-for-old-asphalt-from-airport/,2022-05-06
None,"Rifle juvenile suspected in fatal shooting held without bond, judge orders","A juvenile arrested in connection to a fatal Sunday morning shooting at a quinceanera birthday near Rifle is being held without bond.,D’Antiago “Dante” Lazaro Dominguez-Lopez, 17, was arrested Monday in Mesa County. He was wanted for the fatal shooting of an 18-year-old male at the celebration on Home Ranch Road shortly after midnight Sunday.,Garfield County Sheriff’s deputies arrived to find the victim still alive, but he was later pronounced dead at St. Mary’s Hospital in Grand Junction.,Garfield County District Court Judge Paul Metzger made the order to detain Lopez without bond during the Rifle juvenile’s initial appearance Tuesday morning.,“Under these circumstances, having reviewed the affidavit and considered the arguments of the parties, I do ultimately conclude that the juvenile poses a substantial risk of serious harm to others, and therefore find that he should remain in detention at this time,” Metzger said.,According to prosecuting attorney Tony Hershey, Lopez was already on probation for felony menacing with a knife prior to his Monday arrest. Meanwhile, Lopez also allegedly possessed two handguns and brass knuckles when he was arrested by the Mesa County Sheriff’s Office on Monday.,“After the incident in this case, (Lopez) did flee the county, he went to Mesa County,” Hershey said. “I believe at some point he was contacted by his mother and sister, and that’s when he was apprehended.”,Garfield County public defender Elise Myer requested Lopez be released from detention because he does not pose a flight risk and that facts in connection to his new homicide case are currently “limited.”,Myer also said Lopez has been abiding to the terms of his probation and was working concrete with his father prior to his Monday arrest.,“These are incredibly serious crimes, but he is presumed innocent,” Myer said. “D’Antiago is willing to abide by any conditions the court may put on a release. He is happy to stay at home with his family, to not leave. He has a good relationship with his family, with his parents, with his siblings.”,Lopez’s next court date is set for May 11.",https://www.aspentimes.com/news/rifle-juvenile-suspected-in-fatal-shooting-held-without-bond-judge-orders/,2022-04-27
None,Hearing begins for ex-Basalt massage therapist,"A preliminary hearing for a former massage therapist in Basalt facing 23 counts related to sexually related transgressions with his clients will resume May 13, according to a court clerk.,The hearing for , 47, of New Castle, got underway at 9 a.m. Friday at Eagle County District Court. Audio was muted specifically for the virtual hearing, but the in-courtroom proceedings were open to the pubic, a clerk said.,“Only parties in the courtroom will be able to hear today’s hearing,” Judge Rachel Fresquez posted on the WebEx site where the hearing was accessible by video only. The judge made note of the closed hearing more than 15 minutes after it began and did not give a reason as to why she turned off the audio.,Gordon faces 12 felony counts, two which are for sex assault-false medical exam, and 10 for sexual contact-fake medical exam, according to court records. The remaining 11 misdemeanor counts are for invasion of privacy.,There are as many as 11 victims in the case, The Aspen Times previously reported, ,made from District Attorney Heidi McCollum after a brief hearing April 4.,Gordon will not have to enter a plea until after the judge rules whether the charges will be bound over for trial.",https://www.aspentimes.com/news/hearing-begins-for-ex-basalt-massage-therapist/,2022-04-23
Rick Carroll,Teen paints harrowing picture of relative’s alleged abuse in Roaring Fork Valley,"A Pitkin County district judge Monday bound over a Rifle man for trial to face 168 criminal charges linked to his alleged physical, psychological and sexual abuse of a relative over a period of two years, including one incident where he purportedly tried to shove her off a cliff on Aspen Mountain.,Defendant Frank Seme, 44, out on a $250,000 surety bond, attended in Aspen the preliminary hearing that included brief remarks from the alleged victim, who was subpoenaed to testify by public defender Scott Troxell. Also shown during the hearing was video footage of a police detective’s interview with the girl, who said she was physically and sexually abused and traumatized by her relative starting when she was 16 years old. The physical abuse began in September 2018 and the sexual abuse in February 2019, the girl told the detective.,“If it wasn’t sexual abuse, it was physical abuse and verbal abuse,” the alleged victim told the Rifle Police Sgt. Carlos Cornejo in the interview, which was conducted Oct. 28. Nearly three hours of the interview was shown during the preliminary hearing.,Judge Chris Seldin’s ruling allows the prosecution to carry forward 53 felony counts of sexual assault against Seme, 30 felony counts of sexual assault on a child by a person in a position of trust constituting a pattern of abuse, 83 felony counts of aggravated incest, one count of second-degree assault and one misdemeanor count of third-degree assault.,Convictions on all charges could lead to multiple life sentences in prison for Seme. The sexual assault charges are punishable by 2 to 6 years to life in prison; the incest counts carry 4 to 12 years to life in prison; and each count of sexual assault on a child by a person in a position of trust constituting a pattern of abuse is punishable by 10 to 32 years to life in prison.,Seldin noted his decision was largely based on the video of the girl’s interview with the Rifle police sergeant, as well as her documenting each alleged sexual encounter — including multiple instances of intercourse — on her health app’s calendar.,“We have non-hearsay testimony to support the charge in each count,” Judge Seldin said.,According to the alleged victim’s statement to police, she moved from her home in Nebraska to her relative’s Old Snowmass-area home in June 2018, and began her junior year at a high school in the Roaring Fork Valley that fall. In September just before her 17th birthday, Seme became mad at her and beat her with a hairbrush. He was intoxicated then and normally would drink 12 beers a day, she said.,The sexual abuse began in the following February and became progressively worse.,“It’s been going on since I was 17 and we lived in Snowmass,” she told Cornejo.,The alleged victim said she couldn’t break away from her relative because she felt helpless. She also told Rifle police that before her interview with them, she spent 25 minutes outside the department before she could gather herself to tell her story.,“I feel stupid for letting this go on that long … and I feel guilty for never fighting back,” she said.,The girl recalled an episode in July 2019, one day before she was scheduled to take her senior pictures, when the relative took her four-wheeling up the backside of Aspen Mountain. At one point the vehicle stopped, and he wrapped a seat belt around her neck in an attempt to rape her but she was able to break free, she told Rifle police.,“We were in the middle of nowhere,” she said. “I didn’t have a cellphone; I didn’t have anything.”,Seme later tried to push her off a cliff but did not succeed, she said.,“He dislocated his shoulder and screamed at me and said it was my fault,” she told police.,The following October the two went to a show at Belly Up Aspen, and on the way back, while the girl was driving them home, Seme demanded she stop the car and have sex with him, she said. He also was drunk at the time, she told authorities.,She resisted then and he struck her, and when they returned home she became sick before he sexually assaulted her, she said.,“The threats and fear, what she felt, were the means and consequences that allowed [Seme] to continue the abuse,” Nottingham said during closing statements.,After her relative kicked her out of his home in October, the victim reported the crimes to police in Rifle, where Seme was living then. Cornejo later notified Pitkin County authorities about the crimes the girl reported that occurred in Pitkin County.,Seme is out on $250,000 surety bond after authorities arrested him in December. He is due back court in June 6 for an arraignment hearing.,Monday’s hearing was held in a makeshift courtroom downstairs at the old Aspen City Hall building, while renovations continue at Pitkin County Courthouse on Main Street.",https://www.aspentimes.com/news/teen-paints-harrowing-picture-of-relatives-alleged-abuse-in-roaring-fork-valley/,2022-04-26
John Stroud,Bond review scheduled in Glenwood Springs stabbing ahead of defendant’s 18th birthday,"A juvenile defendant charged as an adult for attempted murder in a March 8 stabbing incident at a south Glenwood Springs home had his first hearing in adult court Thursday.,The next step before Angel Rivas Tellez turns 18 on May 13 will be to review a $250,000 bond that was set last month when the 9th District Attorney’s Office charged him as an adult and refiled his case in Garfield County District Court.,Once Tellez turns 18, he will have to be transferred from the Grand Mesa Youth Detention Center to the Garfield County Jail, unless he is able to make bond, public defender Elise Myer told District Judge James Boyd at the Thursday hearing.,Boyd agreed to set a bond review hearing ahead of that key date, the afternoon of April 22.,At a March 23 juvenile court hearing, Myer requested a much lower bond of $15,000-$20,000.,Myer also anticipates requesting what’s called a reverse-transfer hearing, where the judge would be asked to determine if the case should be moved back to juvenile court.,That’s unlikely to occur until a clinical psychologist can evaluate Tellez and provide a report. The earliest that could happen is June 9, Myer said.,In the meantime, she said she is still reviewing discovery from the police investigation in the case, including body camera footage and medical records of the alleged victim.,Tellez faces felony charges of attempted murder and burglary for allegedly breaking into the victim’s home using a crowbar on a basement window around 2 a.m. March 8, going to the man’s bedroom and stabbing him “at least 30 times” before fleeing the scene, according to an account provided by Deputy District Attorney Tony Hershey at the March court hearing.,The victim was transported to an area hospital and survived his injuries.,At the Thursday hearing, Hershey asked that a protection order in place for the victims in the case, including a third-party acquaintance of Tellez and the victim, be transferred from the juvenile case to the new District Court case. Judge Boyd agreed.,In the earlier hearing, Hershey painted a picture of a premeditated crime in which Tellez allegedly played crime games with friends and kept notes on how to break into a home with the intent of committing a violent crime.,Following the incident, the surrounding neighborhood was initially on high alert while Glenwood Springs police investigated. Tellez was quickly identified as a likely suspect, and police indicated there was not an immediate public threat.,Hershey said at the March 23 hearing that there were enough concerns expressed by officials at Tellez’s school in Glenwood Springs that the higher bond is warranted. Additional evidence has been provided on that front, Hershey said Thursday.",https://www.aspentimes.com/news/bond-review-scheduled-in-glenwood-springs-stabbing-ahead-of-defendants-18th-birthday/,2022-04-09
None,Suspect wanted in fatal shooting Sunday near Rifle arrested in Mesa County,"The juvenile suspect in a fatal Sunday morning shooting at a quinceanera birthday party near Rifle was arrested Monday in Mesa County.,The Garfield County Sheriff’s Office said D’Antiago “Dante” Lazaro Dominguez-Lopez was arrested by the Mesa County Sheriff’s Office Monday morning.,Lopez’s age was not provided, but he is a juvenile, Garfield County Sheriff’s Office spokesman Walt Stowe said.,He was wanted for the shooting that resulted in the death of an 18-year-old male at the celebration on Home Ranch Road shortly after midnight Sunday.,Garfield County Sheriff’s deputies arrived to find the victim still alive, but he was later pronounced dead at St. Mary’s Hospital in Grand Junction.,A warrant was issued for Lopez, who was considered “armed and dangerous,” a Sheriff’s Office news release issued Sunday stated.,“We would like to acknowledge our Facebook followers, local news agencies, radio stations and the public for their assistance in this matter,” a followup news release states.,Lopez has not yet appeared in the Garfield County Detention Center bookings.,The Garfield County Sheriff’s Office thanked the Rifle Police Department, the Mesa County Sheriff’s Office, the Garfield County All Hazards Response Team (AHRT) and Colorado River Fire Rescue for their assistance the night of the incident and during the ensuing manhunt.,“This is an active investigation, and no additional information will be forthcoming at this time,” the Sheriff’s Office said in the Monday release.",https://www.aspentimes.com/news/suspect-wanted-in-fatal-shooting-sunday-near-rifle-arrested-in-mesa-county/,2022-04-25
Ray Erku,Preliminary hearing set for Glenwood Springs woman accused of double homicide,"A preliminary hearing was set Thursday for next month in the case of a Glenwood Springs woman accused of killing her children.,Claudia Camacho-Duenas, 37, was arrested Dec. 30 after allegedly stabbing her two children on the 100 block of Soccer Field Road in Glenwood Springs.,Her children, ages 11 and 18, were given emergency resuscitation procedures but died from their wounds after being taken to the hospital.,Duenas was meanwhile arrested without incident and eventually charged with two counts of first-degree murder of a family member.,Duenas is currently in jail on a $1 million bond.,Garfield County District Court Judge Denise Lynch set Duenas’ hearing for 9 a.m. May 16.",https://www.aspentimes.com/news/preliminary-hearing-set-for-glenwood-springs-woman-accused-of-double-homicide/,2022-04-08
Jason Auslander,Jury finds Basalt man guilty of attack on woman in bar bathroom,"A Pitkin County jury on Monday found a Basalt man guilty of attempted sexual assault, false imprisonment and indecent exposure for attacking an Aspen visitor in the bathroom of a downtown bar last summer.,Robert Marlow, 41, now faces possible life in prison when he is sentenced June 21.,The jury of seven women and five men spent nearly all of Friday afternoon and all of Monday morning deliberating before coming back with the verdict just before 1 p.m. In addition to the findings of guilt on all counts, jurors also found that Marlow used “force of violence” in attempting to sexually assault the then-23-year-old woman.,That finding is particularly significant because it means Marlow is guilty of a higher level felony and will face 2-to-6 years to life in prison and 10 years to life on parole when and if he’s released from prison, said Deputy District Attorney Don Nottingham, who prosecuted the case. Marlow would have been looking at between 1 and 3 years in prison if the jury had found him guilty of attempted sexual assault without the force of violence finding.,Indecent exposure and false imprisonment are misdemeanors for which Marlow can receive up to 18 months and up to 364 days respectively.,The Pitkin County Probation Department will conduct both a pre-sentence investigation and psycho-sexual evaluation prior to the June sentencing date.,Attorneys in the case spent almost as much time picking the jury as they did presenting evidence in the case. Jury selection took all of April 5 and half of the next day. Testimony and arguments in the case occurred Wednesday afternoon, Thursday morning and Friday morning.,The first witness to testify was the now-24-year-old victim in the case, a resident of Washington, D.C., , she had been coming to visit Aspen her entire life because her parents met here.,She described a night out July 6 with a family friend that finished up at Aspen Public House about 1 a.m. July 7. The woman said she’d had two glasses of wine the entire night, ordered water at the Public House bar when she arrived, then went to use the bathroom about 15 minutes later.,She said she first went to the women’s bathroom, but when she opened the door she encountered Marlow standing inside with his pants unbuttoned. She described being slightly embarrassed, apologized and shut the door.,The woman said she decided to use the men’s bathroom immediately across from the women’s bathroom on the assumption that it was a one-toilet facility like the women’s room and likely had a locking door. When she opened the door, however, she noticed it was set up differently with a urinal and a stall and said she hesitated a moment while deciding if she should use that bathroom.,That was when she said a clearly intoxicated Marlow came “barging” through the door, backed her up against the wall between the urinal and the sink, put his right arm up to block her from leaving and began pulling down his pants and boxers. She said he exposed himself to her at that point.,The woman, who is much smaller than the 6-foot-1, 260 pound Marlow, said she asked him not to do anything to her and to let her go, but he responded, “You’re not going anywhere.” She said she then began screaming, punching and kicking at Marlow and was able to duck under his arm and run out the door to safety.,She later said she thought he would have raped her if she hadn’t been able to get away. A video surveillance camera outside the bathroom recorded her screams and her running away from the bathroom area.,Marlow testified that he’d been drinking and doing cocaine that night and that while he remembered most details, including arriving at Public House, sitting at a table outside the bathroom and getting up to go to the bathroom to do more cocaine, he didn’t remember what occurred inside the bathroom except for the woman screaming.,Marlow is currently being held at the Garfield County Jail, which is housing Pitkin County Jail inmates while county officials make changes to the jail to improve safety.",https://www.aspentimes.com/news/jury-finds-basalt-man-guilty-of-attack-on-woman-in-bar-bathroom/,2022-04-12
Jason Auslander,Jurors to resume deliberations Monday in attempted sex assault trial,"After spending most of Friday afternoon deliberating the fate of a Basalt man charged with attempting to rape an Aspen visitor in the bathroom of a downtown bar last summer, jurors were sent home after 5 p.m. without coming to a verdict.,Deliberations will resume Monday morning.,Robert Marlow, 41, is charged with attempted sexual assault, false imprisonment and indecent exposure in relation to the incident, which occurred at Aspen Public House in the early morning hours of July 7.,Jurors received the case about 12:30 p.m. after lawyers concluded closing arguments and deliberated until about 5:20 p.m., when District Judge Chris Seldin called them back into the courtroom to check on their progress. At least two jurors indicated they had other obligations and could not continue the deliberations Friday evening, and Seldin sent them home for the weekend.,The 24-year-old victim in the case — a resident of Washington, D.C. — testified Wednesday that a drunken Marlow followed her in to a bathroom at Public House about 1 a.m., forced her up against the wall, blocked her from leaving, pulled down his pants and boxers and told her she couldn’t leave. The woman, who was convinced she was about to be raped, said she screamed, then kicked and punched Marlow before ducking under his arm and running out.,Marlow testified in his own defense Friday and told jurors he worked as a heavy equipment operator in Glenwood Springs during the day on July 6, then met a friend for two beers at a brewery nearby. He said he returned to his home at Aspen Skiing Co.’s tiny-home development — he worked for Skico as a lift mechanic the previous winter — in the mid-Roaring Fork Valley, where he ate and showered.,Marlow said he then drove to Aspen and went to Eric’s Bar, where he was employed as a security doorman but was not on duty that night, and had five beers and two shots. He also said he “scored” a gram of cocaine from a co-worker at the bar and did two or three “key bumps” in the bathroom.,Marlow testified that he’d done cocaine more than 50 times before, but that this time it affected him differently and made him sluggish and discombobulated instead of stimulated. Not long after ingesting the cocaine, he said his co-worker noticed he was very intoxicated and asked him to leave the bar “before you make an ass of yourself.”,“I definitely appeared pretty wasted to him,” Marlow said.,He then walked over the Aspen Public House, where he said he was thinking of doing more cocaine. He testified that he remembered sitting down at a table near the bathrooms and remembered getting up to go to the bathroom to do more drugs.,That was when Marlow said he remembered hearing a woman scream, but had “no clue what was going on.”,“Obviously there was a woman in the bathroom and she ran out the door,” he said.,He then left the bar after a bartender asked him to go, and walked around Aspen aimlessly looking for his car while hallucinating lights and colors until 4:30 a.m. When police showed up at his home two days later, Marlow said he didn’t know why they were there and thought maybe he’d gotten into a fight.,Prosecutor Don Nottingham, however, played a video of Marlow’s interview with an Aspen Police detective, where he said he remembered a girl screaming. Marlow then admitted he knew the police visit had to do with his interaction in the bathroom with the woman who screamed.,Marlow said he “froze” when he heard the scream and recalled the woman running out the bathroom door.,“Anybody that screams like that — it is terrifying,” he said. “Because it is an emergency sound. They were loud. They were very scary — like horror movie screams. It did scare me and it did make me freeze.”,Nottingham pointed out that Marlow appeared to remember many details of the night, except the 15 seconds when the victim screamed, kicked and punched her way out of the bathroom, the audio of which was recorded on a video surveillance camera outside the bathrooms. Marlow confirmed that he did not remember what happened inside the bathroom.,“Of course, that’s when his memory goes blank,” Nottingham said in his closing arguments. “If he wasn’t trying to sexually assault her in the Public House bathroom, what could he possibly have been doing? What other possible explanation can there be for that? There is none.”,Scott Troxell, Marlow’s public defender, cast doubt on the victim’s version of events, criticized police for not gathering DNA evidence or even photos of the victim’s alleged bruises and said the facts “fall short of what is alleged by the prosecution.” He said her clothes were not ruffled or stretched and that there was no proof Marlow committed any act of force on her.,“(The victim) was traumatized,” Troxell said. “But that doesn’t mean everything that came out of her mouth (in testimony) was the truth.”,He said Marlow never assaulted the woman.,“I ask you to find that Mr. Marlow did not commit any act of force on the victim,” Troxell said. “If anything, it was unlawful sexual contact.”",https://www.aspentimes.com/news/jurors-to-resume-deliberations-monday-in-attempted-sex-assault-trial/,2022-04-09
